mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
2646736;24121426;0;1;0
2662195;26754893;0;1;0
2667540;26319914;0;1;1
2668871;26350767;0;1;1
2669278;25542895;0;1;1
2678077;9703625;0;1;0
2678699;25211299;0;1;1
2680314;24824842;1;1;0
2680314;25775434;0;1;0
2684533;13577579;0;1;0
2688096;25896746;0;1;0
2689867;26806022;0;1;0
2692786;25237946;0;1;1
2697093;25179729;0;1;1
2701151;25926419;0;1;1
2703953;19271956;0;1;1
2710851;26016286;0;1;1
2714867;26576059;0;1;1
2717471;25343015;0;1;0
2719589;10052269;0;1;0
2720131;26041905;0;1;0
2726636;26194543;0;1;1
