mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
538736;9328;331000000131
539052;2530;131000000133
539313; ; 
539436;9919;811000000113
539854;10086;811000000133
540228;25853;131000000133
540625;2110;131000000132
540626;9889;811000000133
541836;5216;131000000133
542901; ; 
543110;31262;511000000113
543500;1672;131000000133
544361;9283;131000000233
544895;1675;131000000133
545154;11851;511000000133
545181;25899;131000000133
546037;8331;311000000133
546288;14602;711000000133
546576;8658;331000000113
546778;11265;131000000133
546811;31087;411000000133
547559;1980;811000000133
548519;25770;231000000123
548689;12719;131000000133
548740;3305;131000000133
549041;18218;131000000133
549587;8255;131000000133
549834;9194;811000000131
551085;8930;331000000111
551409;10520;131000000133
551507;10452;131000000133
551699;4165;131000000133
551797;31343;331000000133
551937;26292;131000000133
553104;4043;811000000133
553124;12838;231000000133
553198;7200;811000000133
554088;22271;711000000133
554350;4483;131000000133
555063;10711;131000000133
556318;9801;331000000133
557160;12591;131000000133
557622; ; 
557629;18223;711000000133
558553;10452;131000000133
558953;12115;231000000133
559878;10250;231000000133
560607;1132;611000000133
561042;16851;711000000133
561390;1663;131000000131
562115;3940;351053014133
562580;9695;231000000133
562612;11155;131000000133
563018;6752;131000000133
563692;1675;131000000133
563752;12655;331000000133
565295;7628;131000000113
565418;1121;131000000133
565782;1268;811000000133
566548;10832;131000000333
567331;1880;131000000133
568120; ; 
569339;9;711000000133
569453;9660;511000000133
569648;2222;431000000133
569817;11;811000000133
571252;108;351052013133
571906;10789;811000000133
571934;52;411000000133
572188;25899;131000000133
572189;9472;131000000133
572220;24946;411000000133
572270;12715;811000000133
573887;326;511000000133
574266;10453;231000000133
574268;25899;131000000133
574683;2964;611000000133
575588; ; 
575811;9061;131000000133
576093;20121;511000000133
576108;17790;131000000133
577069;1500;341041005233
577099;7627;131000000123
579087;22664;361061003133
580845;10576;611000000131
581747;2171;131000000133
582314;519;511000000133
583083;7102;131000000133
583299;9472;131000000133
584449;2019;311000000133
584462;7325;711000000133
584818;4616;711000000133
585427;9866;231000000133
585460;40352;131000000133
585474;612;511000000133
585615;13445;131000000132
585723;25589;511000000133
585904;9982;131000000131
585905;131;131000000131
586492;2234;711000000133
587662;9834;131000000133
588453;10396;341041005133
588511;2220;511000000133
589378;25215;511000000131
589587; ; 
589625;10491;231000000113
589923;14452;711000000131
590542;14675;811000000133
590779;4565;431000000133
591662;16749;431000000133
592039; ; 
592743;4672;511000000133
593170;5782;411000000132
593302;16945;711000000133
593881;26152;611000000133
594253;8499;131000000123
594317;20085;511000000133
594491;8933;711000000133
595486;20095;131000000133
595960; ; 
597744;22140;151051005133
