mrun;cod_nivel;rbd_admitido;cod_curso_admitido
340734;8;7544;811000000133
340818;11;10911;361064008133
341946;11;8162;361064008133
342337;6;12941;611000000133
342500;9;40352;131000000133
342643;7;16446;711000000133
343211;11;768;361064001113
343475;9;16583;131000000133
343483;7;25091;711000000133
344200;9;1675;131000000133
344552;11;8841;331000000133
344854;7;20259;711000000133
345042;6;26152;611000000133
345501;10;2123;231000000133
345623;10;8613;231000000113
346519;10;40025;231000000133
347067;6;5134;611000000133
347256;9;4562;131000000133
348614;9;7135;131000000133
348619;8;9165;811000000133
349189;4;10251;411000000133
349335;8;9162;811000000133
349380;9;1213;131000000133
349513;8;16541;811000000133
350055;10;4535;231000000131
350056;10;8495;231000000133
350615;9;20213;131000000133
350652;9;9581;131000000113
351362;9;9779;131000000133
352096;11;10967;331000000133
352496;9;8617;131000000113
352699;12;26219;461064001133
352816;8;10640;811000000133
352911;9;5656;131000000133
352996;4;161;411000000133
353075;5;25114;511000000133
353908;9;26274;131000000133
353991;7;25901;711000000133
354198;10;7625;231000000133
355252;8;14879;811000000133
355362;9;3742;131000000133
355709;6;4375;611000000133
356243;9;5574;131000000133
356657;7;8349;711000000133
356965;12;26084;461063011133
357489;7;1676;711000000133
357758;6;14539;611000000133
358389;6;4984;611000000133
358696;4;9543;411000000131
360404;9;25220;131000000133
361192;6;12659;611000000133
361363;11;10829;361061003133
361593;9;2012;131000000133
361924;11;284;331000000133
362004;9;5666;131000000132
362497;6;9089;611000000133
364278;11;3328;371072007133
364879;9;9472;131000000133
364924;7;4169;711000000131
365034;9;4533;131000000111
365167;7;10493;711000000231
365277;9; ; 
365372;11;5344;331000000133
365600;10;9087;231000000133
366151;7;2005;711000000133
366667;11;2454;331000000233
366777;4;1534;411000000133
367898;11;384;351054019131
368322;9;2442;131000000113
368778;9;20139;131000000133
368949;12;448;431000000133
369231;6;12185;611000000133
369296;4;10578;411000000133
370015;9;2455;131000000131
370410;8;1261;811000000133
370487;4;2321;411000000133
370592;5;10721;511000000133
370901;6;4988;611000000131
371259;7;1218;711000000133
371348;6;9917;611000000133
371590;9; ; 
371884;9;9897;131000000133
372125;4;10265;411000000133
372167;5;10495;511000000133
374441;6;9834;611000000133
374627;5;26381;511000000133
374903;9;2442;131000000113
375140;9;11527;131000000133
375509;9;3640;131000000132
376979;8;10721;811000000133
377160;7;20095;711000000133
377393;9;20008;131000000133
378307;9;4562;131000000133
378500;10;6348;231000000133
378721;9; ; 
378740;9; ; 
379127;9;133;131000000133
379286;9;10210;131000000133
379342;7;24438;711000000133
379660;9; ; 
380313;9;3163;131000000133
380316;7;310;711000000133
380779;9;5131;131000000133
381325;4;4992;411000000133
381613;10;3328;231000000133
381713;7;15526;711000000133
381740;4;24622;411000000132
381981;5;10722;511000000133
382480;4;5596;411000000133
383301;9;1860;131000000231
383350;5;24978;511000000133
383611;9;9828;131000000133
383733;4;14823;411000000133
384003;7;7977;711000000133
384079;8;31262;811000000123
384884;9;4702;131000000133
385373;4;3481;411000000133
385637;5;254;511000000113
385681;4;8498;411000000133
386812;6;14922;611000000133
386844;10;40298;231000000133
388359;11;1515;331000000133
388647;9;10405;131000000133
389033;5;14677;511000000131
389079;2;134;211000000131
389984;11;9779;361061003133
390618;9;9583;131000000133
391274;9;7331;131000000133
391759;5;2826;511000000133
392994;9;8;131000000133
393033;6;20218;611000000133
394014;9;1864;131000000133
394231;7;2120;711000000133
395177;9;17885;131000000133
395503;9;5992;131000000133
395758;9;9581;131000000113
396275;4;26037;411000000433
396419;9;1520;131000000133
398375;11;2283;331000000133
399449;4;4622;411000000133
399536;9;8424;131000000133
399791;9;14677;131000000133
400109;9;20230;131000000131
403757;7;11220;711000000131
404167;9;3313;131000000133
404578;6;25059;611000000132
404615;6;25091;611000000133
406129;9;7544;131000000133
406478;8;10752;811000000131
406651;9;6113;131000000133
406652;9; ; 
408419;12;1971;431000000133
408488;9;26503;131000000133
408866;10;11936;231000000133
409236;7;10493;711000000231
409890;5;22354;511000000133
409910;6;9171;611000000133
410067;9;4536;131000000111
410562;7;2052;711000000131
411333;8;12118;811000000133
412080;11;5666;331000000131
413667;12;2013;481081004133
414585;7;12255;711000000131
414842;11;108;351053014133
415286;10;9759;231000000111
415374;9;10911;131000000133
415793;9;106;131000000133
416179;10;20478;231000000133
416277;5;10239;511000000133
416980;8;5654;811000000133
416982;7;10064;711000000131
417364;9;7627;131000000123
417365;9;4977;131000000133
417409;9;8487;131000000112
417444;5;12242;511000000131
417729;7;6135;711000000233
418156;9; ; 
418471;10;1880;231000000133
419350;7;10064;711000000131
419405;6;25501;611000000133
419482;7;13167;711000000133
419805;10;6336;231000000133
420127;7;706;711000000133
420376;9;11139;131000000133
420377;9;24652;131000000133
420718;4;25921;411000000133
420832;9;845;131000000133
422137;12;9285;431000000133
422202;9; ; 
422618;6;2859;611000000133
422637;5;14870;511000000133
422646;10;518;231000000133
423813;12;4505;431000000133
424123;9;9666;131000000133
424134;11;2443;351052009133
425002;9;3305;131000000133
425510;5;1472;511000000133
426341;5;2394;511000000133
426455;12;31110;431000000133
426532;12;1289;461064008133
426601;10;1663;231000000131
429766;7;401;711000000133
431531;12;8849;431000000133
431723;11;8487;331000000111
431779;9;3328;131000000133
431780;9;4166;131000000113
431863;5;1453;511000000133
432017;10;31345;231000000133
432328;7;416;711000000133
433495;6;25543;611000000131
433912;7;10729;711000000133
434446;4;10425;411000000133
434703;9;2937;131000000133
434736;4;24403;411000000133
435319;9;2283;131000000133
435613;4;5589;411000000133
437443;9;40155;131000000133
437461;9;2939;131000000133
437748;10;31030;231000000133
438350;9;22664;131000000133
438548;10;31074;231000000113
439197;5;25717;511000000131
439962;6;2559;611000000133
440133;11;285;331000000133
440248;9;10210;131000000133
441024;9;284;131000000133
441498;9;7626;131000000133
441635;9;10542;131000000133
442003;7;2078;711000000133
442121;9;8756;131000000233
442338;4;13427;411000000133
442370;10;12312;231000000133
442874;3;40319;311000000133
443277;9;24686;131000000133
443504;8;26115;811000000133
444144;10;25050;231000000133
444633;11;26292;361061003133
444850;7;10015;711000000131
445495;5;9087;511000000133
445844;9;22626;131000000133
445883;9;31278;131000000133
446158;9;24946;131000000133
446469;8;26111;811000000233
446646;9;7627;131000000123
446682;4;3110;411000000133
446737;7;10848;711000000133
447496;8;25032;811000000133
447912;7;10704;711000000133
448144;11;10505;331000000133
448760;11;10507;361061003113
449464;5;22236;511000000133
451558;7;12587;711000000133
452157;5;10641;511000000133
452695;9;2938;131000000133
453235;9;9638;131000000133
453570;9;4535;131000000131
453648;6;10805;611000000133
453714;5;17916;511000000133
453980;7;8714;711000000131
453984;6;4731;611000000133
454737;6;13220;611000000133
455619;5;8498;511000000133
456478;10;26168;231000000133
457193;10;7775;231000000133
457331;7;2398;711000000133
457689;9;2939;131000000133
457690;8;1884;811000000133
458377;11;9409;361064008112
459273;8;294;811000000133
459691;7;11741;711000000131
460098;9;24714;131000000133
461604;11;17818;371071005133
461658;8;1599;811000000131
462017;7;5668;711000000133
462471;10;1958;231000000133
462550;11;25853;361064001133
463505;5;9939;511000000131
464292;9;7331;131000000133
464718;11;9185;331000000123
465305;8;10557;811000000133
465378;9;14879;131000000133
466132;11;24889;331000000233
466600;9;1;131000000131
466723;7;8487;711000000112
466759;8;24878;811000000133
466863;9;25458;131000000132
470035;9;1895;131000000133
470926;7;2129;711000000131
471908;8;1692;811000000133
472282;9;31345;131000000133
475163;4;14879;411000000133
475709;9;7;131000000133
475760;9;2102;131000000113
475784;10;7044;231000000133
478026;9;6230;131000000133
478137;9;41135;131000000133
479089;10;578;231000000133
479115;9;16432;131000000133
479263;4;9206;411000000133
479467;9; ; 
479951;5;714;511000000133
480423;9;5597;131000000133
481138;9;10830;131000000113
481354;12;20436;431000000133
481650;7;24946;711000000133
482570;4;16816;411000000133
482597;10;10496;231000000123
482623;10;5569;231000000133
482641;11;25136;361064001133
482740;11;2163;331000000132
483624;9;10592;131000000133
484102;6;25042;611000000131
484587;4;3345;411000000133
485142;10;2938;231000000133
485222;8;1455;811000000133
485579;9;4562;131000000133
485582;7;13559;711000000133
485669;9;10452;131000000133
486048;4;1702;411000000133
486464;7;24313;711000000133
486775;9;25899;131000000133
487281;12;8930;431000000111
488207;9;5666;131000000132
488390;9;12185;131000000133
489087;8;31;811000000133
489088;8;7450;811000000133
489133;11;26324;331000000133
489387;9; ; 
489624;7;5224;711000000133
491251;5;25084;511000000133
492169;5;10015;511000000131
493861;11;8492;331000000121
494654;8;24464;811000000131
494838;10;10544;231000000133
494842;9; ; 
494884;10;10711;231000000133
494980;9;9065;131000000131
495190;10;9194;231000000132
497247;4;25593;411000000133
497693;12;344;431000000131
498048;9;1503;131000000133
498050;8;408;811000000133
498087;9;12217;131000000133
498140;11;16443;351058033132
498344;9;9659;131000000233
